Hit3,Hit1,Hit50%,Hit30%
27.409,22.257,21.897,21.437
0.0,0.0,16.425,12.933
17.522,11.15,7.613,18.519
11.984,2.554,16.452,16.406
19.186,11.892,6.105,18.45
28.435,9.091,30.726,24.159
0.0,0.0,16.402,5.973
26.553,19.741,21.256,28.267
12.84,4.877,17.753,14.843
21.152,23.793,6.481,20.05
26.625,13.93,23.64,32.593
0.0,0.0,23.036,16.313
19.05,10.27,17.36,25.308
5.495,2.734,18.726,12.805
19.941,11.843,9.496,20.576
19.315,16.976,17.423,18.35
0.0,0.0,13.387,7.29
10.382,7.677,11.211,10.605
9.36,5.722,13.48,8.796
10.773,7.997,9.298,12.142
20.491,15.992,20.715,19.581
0.0,0.0,15.098,6.119
12.156,10.132,13.185,14.383
8.327,5.984,11.978,8.528
11.636,8.442,10.747,15.009
