Hit3,Hit1,Hit50%,Hit30%
32.662,26.58,26.608,29.549
0.0,0.0,20.962,7.95
18.748,16.477,19.407,22.621
5.74,1.824,12.275,9.009
17.678,16.765,16.731,21.235
11.234,39.441,2.807,33.893
0.0,0.0,23.98,16.253
21.349,23.117,20.182,21.246
20.741,12.255,23.583,20.428
19.775,18.306,12.227,18.554
25.231,7.857,28.501,28.431
0.0,0.0,15.568,11.144
21.366,18.9,18.356,22.898
10.223,5.202,19.665,15.173
15.057,18.144,7.582,12.521
1.158,11.307,0.275,3.156
0.0,0.0,10.584,4.369
9.457,7.544,15.841,12.319
3.998,1.143,7.975,2.996
7.612,7.904,11.481,10.737
1.145,12.683,0.269,3.256
0.0,0.0,11.083,4.989
12.152,8.979,15.786,14.25
4.597,1.083,9.201,4.272
12.327,9.441,12.417,13.452
