cwe,hit_type,Hit3,Hit1,Hit50,Hit30,total
22,fixed,5,0,21,14,24
22,b_av,-,-,117,33,132
22,b_se,39,15,113,87,137
22,b_sk,19,0,69,27,132
22,b_sesk,58,15,137,111,137
79,fixed,21,0,23,4,33
79,b_av,-,-,46,5,221
79,b_se,46,7,152,48,225
79,b_sk,36,1,42,33,221
79,b_sesk,82,8,187,81,225
89,fixed,12,0,204,42,297
89,b_av,-,-,203,38,304
89,b_se,101,45,257,152,307
89,b_sk,5,0,79,32,304
89,b_sesk,105,45,280,179,307
190,fixed,504,58,638,494,697
190,b_av,-,-,285,75,566
190,b_se,259,129,350,248,575
190,b_sk,126,39,177,107,566
190,b_sesk,345,168,423,333,575
191,fixed,387,42,501,393,571
191,b_av,-,-,187,26,450
191,b_se,177,96,255,158,454
191,b_sk,81,15,106,59,453
191,b_sesk,240,111,319,211,457
