node_number,hit_type,Hit10,Hit5,Hit3,Hit1,Hit50%,Hit30%
>=5<10,fixed,-,0.8068571428571428,0.52,0.23542857142857143,0.5085714285714286,0.3017142857142857
>=5<10,b_av,-,-,-,-,0.5761494252873564,0.10775862068965517
<=5<10,b_sesk,-,0.9906040268456375,0.9221476510067114,0.5154362416107383,0.9449664429530201,0.6778523489932886
>=10<20,fixed,0.5375886524822695,0.21631205673758866,0.15106382978723404,0.06453900709219858,0.2680851063829787,0.16453900709219857
>=10<20,b_av,-,-,-,-,0.3428420496566297,0.03592181722134179
>=10<20,b_sesk,0.9746450304259635,0.6627789046653144,0.47718052738336714,0.23985801217038538,0.8747464503042597,0.5486815415821501
>=20,fixed,0.10284463894967177,0.060175054704595186,0.036105032822757115,0.009846827133479213,0.1673960612691466,0.0787746170678337
>=20,b_av,-,-,-,-,0.36251287332646753,0.017507723995880537
>=20,b_sesk,0.8876298394711992,0.5108593012275732,0.4183191690273843,0.18508026440037773,0.9301227573182247,0.6213408876298395
